Word,Number of Syllables
berbalah,3
berbalas,3
berbalik,3
berbaloi,3
berbalut,3
berbanding,3
berbangga,3
berbangkit,3
berbangsa,3
berbanyak,3
berbaring,3
berbaris,3
berbatu-batu,5
berbau,3
berbaur,2
berbayar,3
berbekal,3
berbekalkan,4
berbelah,3
berbelanja,4
berbelas,3
berbelit-belit,5
berbentuk,3
berbesar,3
berbeza,3
berbicara,4
berbilang,3
berbincang,3
berbintang,3
berbintik,3
berbisa,3
berbisik,3
berbogel,3
berbohong,3
berborak,3
berbuah,3
berbual,3
berbuat,3
berbudaya,4
berbudi,3
berbuka,3
berbukit,3
berbulan,3
berbumbung,3
berbunga,3
berbunyi,3
bercabang,3
bercadang,3
bercagar,3
bercakap,3
bercakaran,4
bercambah,3
bercampur,3
bercanda,3
bercanggah,3
bercanggahan,4
bercantum,3
bercelaru,4
berceloteh,4
bercerai,3
bercerita,4
bercerun,3
berciciran,4
bercinta,3
bercirikan,4
bercita-cita,5
bercitra,3
bercorak,3
bercucu,3
bercuti,3
berdaftar,3
berdagang,3
berdakwah,3
berdalih,3
berdamai,3
berdampingan,4
berdandan,3
berdarah,3
berdasar,3
berdasarkan,4
berdaulat,3
berdaya,3
berdebar,3
berdebat,3
berdegar-degar,5
berdegil,3
berdegup,3
berdekah-dekah,5
berdekatan,4
berdendam,3
berdengki,3
berdentum,3
berdepan,3
berderai,3
berdering,3
berderma,3
berdesing,3
berdetik,3
berdiam,3
berdikari,4
berdiri,3
berdoa,3
berdolak-dalik,5
berdosa,3
berdua,3
berduka,3
berduri,3
berdusta,3
berduyun-duyun,5
berebut,3
berebutan,4
berebutkan,4
beredar,3
beregu,3
berehat,3
berempat,3
berenang,3
berendam,3
berentak,3
bererti,3
beres,2
berfaedah,4
berfikir,3
berfikiran,4
berfoya-foya,5
berfungsi,3
bergabung,3
bergadai,3
bergaduh,3
bergaji,3
bergalah,3
bergambar,3
berganda,3
berganding,3
bergandingan,4
berganjak,3
berganti,3
bergantung,3
bergaul,2
bergaun,2
bergaya,3
bergayut,3
bergegar,3
bergegas,3
bergelar,3
bergeliga,4
bergelora,4
bergelumang,4
bergelut,3
bergema,3
bergembira,4
bergemerlapan,5
bergemuruh,4
bergenang,3
bergerak,3
bergergaji,4
bergesel,3
bergiat,3
bergigi,3
bergiliran,4
bergilir-gilir,5
bergolak,3
bergolek,3
bergolok,3
bergomol,3
bergoncang,3
bergotong-royong,5
bergoyang,3
bergulingan,4
berguna,3
berguni-guni,5
bergurau,3
berguru,3
berhabis,3
berhad,2
berhadapan,4
berhajat,3
berhak,2
berhala,3
berhalangan,4
berhaluan,4
berhampiran,4
berhantu,3
berharap,3
berharapan,4
berharapkan,4
berharga,3
berhari,3
berhasil,3
berhasrat,3
berhati,3
berhati-hati,5
berhawa,3
berhelah,3
berhelai-helai,5
berhemah,3
berhemat,3
berhempas,3
berhempas-pulas,5
berhenti-henti,5
berhias,3
berhibur,3
berhijrah,3
berhimpun,3
berhormat,3
berhubung,3
berhubungan,4
berhujah,3
berhujan,3
berhutang,3
beri,2
beriadah,4
beria-ia,5
beribadat,4
beribu,3
beribu-ribu,5
berijazah,4
berikan,3
berikat,3
berikhtiar,4
berikrar,3
berikut,3
berikutan,4
berilmu,3
beriman,3
berimbang,3
beringat-ingat,5
beringin,3
berirama,4
beriringan,4
berisi,3
