Word,Number of Syllables
gombak,2
goncang,2
gondrong,2
gong,1
gopoh,2
gorden,2
goreng,2
gotong,2
gotong-royong,4
goyah,2
goyang,2
gua,2
guam,2
guaman,3
gubahan,3
gubal,2
gudang,2
gugat,2
gugatan,3
gugup,2
gugur,2
gugusan,3
guk,1
gula,2
gulat,2
gulung,2
gulungan,3
guna,2
gunawan,3
gundah,2
guni,2
gunting,2
guntingan,3
gunung,2
gurau,2
gurauan,3
gurindam,3
guru,2
gurun,2
gus,1
gusar,2
gusi,2
gusti,2
haba,2
habis,2
habuan,3
habuk,2
had,1
hadapan,3
hadiah,3
hadir,2
hadirin,3
hadis,2
hadrah,2
hadrat,2
hafal,2
haid,1
hairan,2
haiwan,2
hajah,2
hajat,2
haji,2
hak,1
hakam,2
hakikat,3
hakiki,3
hakisan,3
hal,1
hala,2
halai-balai,4
halal,2
halaman,3
halang,2
halangan,3
hal-ehwal,3
halis,2
haloba,3
haluan,3
halus,2
halwa,2
hamba,2
hambar,2
hambat,2
hambatan,3
hamburan,3
hamil,2
hamis,2
hampa,2
hamparan,3
hampas,2
hampir,2
hamun,2
hana,2
hancur,2
handai,2
handal,2
handalan,3
hang,1
hangat,2
hangus,2
hantar,2
hantaran,3
hantu,2
hanya,2
hanyir,2
hanyut,2
haprak,2
hapus,2
hara,2
haram,2
harap,2
harapan,3
harga,2
hari,2
harian,3
harimau,3
harkat,2
harta,2
hartanah,3
hartawan,3
haru-biru,4
harum,2
haruman,3
harung,2
harus,2
has,1
hasad,2
hasan,2
hasil,2
hasrat,2
hasut,2
hasutan,3
hati,2
haus,2
hawa,2
hayam,2
hayang,2
hayat,2
hebahan,3
hebat,2
heboh,2
hela,2
helah,2
helai,2
helang,2
hemat,2
hembusan,3
hempas,2
hendak,2
hendap,2
hentakan,2
hentam,2
henti,2
heret,2
hias,2
hiasan,3
hiba,2
hibah,2
hibur,2
hiburan,3
hidang,2
hidangan,3
hidayah,3
hidayat,3
hidu,2
hidung,2
hidup,2
hidupan,3
hijau,2
hijrah,2
hikayat,3
hikmat,2
hilang,2
hilir,2
himpit,2
himpun,2
himpunan,3
hina,2
hingar-bingar,4
hingga,2
hinggap,2
hingusan,3
hirau,2
hiruk-pikuk,4
hitam,2
hitung,2
hitungan,3
hop,1
hormat,2
hubung,2
hubungan,3
hujah,2
hujan,2
hujung,2
hukum,2
hukuman,3
hulu,2
hulubalang,4
hulur,2
hurai,2
huraian,3
huruf,2
huru-hara,4
hutan,2
hutang,2
ia,2
ibadah,3
ibadat,3
ibarat,3
iblis,2
ibni,2
ibnu,2
ibu,2
ibunda,3
idam,2
idaman,3
igauan,3
ihsan,2
ijarah,3
ijazah,3
ijmak,2
ikan,2
ikat,2
ikatan,3
ikhlas,2
ikhtiar,3
iklan,2
iklim,2
ikrar,2
iktibar,3
iktiraf,3
iktisad,3
ikut,2
ikutan,3
ilham,2
ilmiah,3
ilmu,2
iltizam,3
imam,2
iman,2
imbang,2
imbangan,3
imbas,2
imbasan,3
imbau,2
imbauan,3
imbuhan,3
impi,2
impian,3
imsak,2
inang,2
indah,2
indera,3
induk,2
ingat,2
ingatan,3
ingin,2
ingkar,2
ini,2
injap,2
insaf,2
insan,2
intai,2
intan,2
inti,2
intip,2
intipan,3
ipar,2
iradat,3
irama,3
iras,2
iri,2
iring,2
iringan,3
isi,2
islah,2
istana,3
isteri,3
istiadat,4
istilah,3
istimewa,4
isyak,2
isyarat,3
isytihar,3
itah,2
itik,2
itu,2
izin,2
jabar,2
jabatan,3
jabir,2
jadi,2
jadian,3
jadual,3
jaga,2
jagaan,3
jagal,2
jaguh,2
jagung,2
jah,1
jahanam,3
jahat,2
jahil,2
jahiliah,4
jahit,2
jahitan,3
jajah,2
jajahan,3
jajaran,3
jaki,2
jalak,2
jalal,2
jalan,2
jalanan,3
jalang,2
jali,2
jalin,2
jalinan,3
jalu,2
jalur,2
jam,1
jamah,2
jamak,2
jambak,2
jambang,2
jambangan,3
jambatan,3
jambu,2
jambul,2
jame,2
jamin,2
jaminan,3
jamu,2
jamuan,3
jana,2
janda,2
janggal,2
janggus,2
jangka,2
jangkaan,3
jangkak,2
jangkauan,3
jangkitan,3
janji,2
jantan,2
jantina,3
jantung,2
jap,1
jara,2
jarahan,3
jarak,2
jarang,2
jari,2
jariah,3
jaring,2
jaringan,3
jarum,2
jasa,2
jasad,2
jasmani,3
jasmaniah,4
jati,2
jatuh,2
jauh,2
jawa,2
jawab,2
jawapan,3
jawatan,3
jawatankuasa,6
jawi,2
jaya,2
jebat,2
jegil,2
jejak,2
jejaka,3
jejantas,3
jejas,2
jelajah,3
jelak,2
jelapang,3
jelas,2
jelata,3
jelawat,3
jelik,2
jeling,2
jelingan,3
jelita,3
jelitawan,4
jelmaan,3
jemaah,3
jempol,2
jemput,2
jemputan,3
jemu,2
jenak,2
jenaka,3
jenama,3
jenayah,3
jenazah,3
jendela,3
jengah,2
jengkel,2
jengking,2
jenguk,2
jenin,2
jenis,2
jentera,3
jentolak,3
jenuh,2
jerai,2
jerangkung,3
jerat,2
jerih,2
jeriji,3
jering,2
jerit,2
jeritan,3
jerlus,2
jernih,2
jeruk,2
jerut,2
jijik,2
jika,2
jikalau,3
jilid,2
jimat,2
jin,1
jinak,2
jingga,2
jiran,2
jitu,2
jiwa,2
jodoh,2
joget,2
johan,2
jolok,2
jolokan,3
jong,1
joon,2
jua,2
juadah,3
juah,2
jual,2
jualan,3
juang,2
juar,2
juara,3
judi,2
judul,2
juga,2
jujur,2
julai,2
julang,2
julangan,3
julung,2
jumlah,2
jumpa,2
jumud,2
junjung,2
junjungan,3
jura,2
jurai,2
juraian,3
jurang,2
juru,2
juruacara,5
jurubahasa,5
jurugambar,4
juruhebah,4
jurujual,4
jurulatih,4
jururawat,4
jurus,2
jurusan,3
jurusolek,4
jurutera,4
juruterbang,4
juruwang,3
justeru,3
juta,2
jutaan,3
jutawan,3
kaba,2
kabil,2
kabul,2
kabur,2
kabus,2
kabut,2
kaca,2
kacak,2
kacang,2
kacau,2
kacip,2
kacir,2
kacukan,3
kadang,2
kadangkala,4
kadar,2
kader,2
kadim,2
kaduk,2
kaedah,3
kafir,2
kagum,2
kah,1
kahak,2
kahwin,2
kail,2
kain,2
kais,2
kait,2
kaitan,3
kajang,2
kaji,2
kajian,3
kakak,2
kaki,2
kakitangan,4
kaku,2
kala,2
kalah,2
kalai,2
kalak,2
kalam,2
kalangan,3
kalau,2
kalbu,2
kali,2
kalimat,3
kalu,2
kalung,2
kalungan,3
kalut,2
kama,2
kamal,2
kamar,2
kamariah,4
kamat,2
kambar,2
kambing,2
kami,2
kamil,2
kamis,2
kamit,2
kampung,2
kampungan,3
kamu,2
kamus,2
kan,1
kanak,2
kanan,2
kancah,2
kancil,2
kandang,2
kandar,2
kandas,2
kandi,2
kandung,2
kandungan,3
kangar,2
kangkang,2
kangsar,2
kantan,2
kanti,2
kantung,2
kap,1
kapai,2
kapal,2
kapan,2
kapar,2
kapit,2
kapitan,3
kapung,2
kapur,2
kar,1
karak,2
karal,2
karam,2
karang,2
karap,2
karat,2
karenah,3
kari,2
kariah,3
karib,2
karim,2
kartika,3
karu,2
karun,2
karung,2
karut,2
karya,2
karyawan,3
kasah,2
kasar,2
kasih,2
kasihan,3
kasturi,3
kasut,2
kata,2
katak,2
katan,2
kate,2
katil,2
kau,1
kaul,2
kaum,2
kaut,2
kawah,2
kawai,2
kawal,2
kawalan,3
kawan,2
kawasan,3
kawat,2
kaya,2
kayan,2
kayangan,3
kaya-raya,4
kayu,2
kayuh,2
kayu-kayan,4
keabadian,5
keadaan,4
keadilan,4
keagamaan,5
keagungan,4
keahlian,4
keaiban,4
keajaiban,5
keakraban,4
kealpaan,4
keamanan,4
keampuhan,4
keampunan,4
kean,2
keanak-anakan,6
keanggotaan,5
keanggunan,4
keangkuhan,4
keanjalan,4
keaslian,4
keasyikan,4
keazaman,4
kebah,2
kebahagiaan,6
kebahasaan,5
kebaikan,4
kebajikan,4
kebakaran,4
kebal,2
kebanggaan,4
kebangkitan,4
kebangsaan,4
kebanjiran,4
kebanyakan,4
kebapaan,4
kebarangkalian,6
kebaratan,4
kebas,2
kebaya,3
kebayan,3
kebebasan,4
kebejatan,4
kebelakangan,5
kebenaran,4
kebencian,4
keberadaan,5
keberangkatan,5
keberanian,5
keberatan,4
keberhasilan,5
keberkatan,4
keberkesanan,5
kebersamaan,5
kebersihan,4
keberuntungan,5
kebesaran,4
kebetulan,4
kebiadaban,5
kebiasaan,5
kebijaksanaan,6
kebimbangan,4
kebinatangan,5
kebingitan,4
kebingungan,4
kebisingan,4
kebobrokan,4
kebocoran,4
kebodohan,4
kebohongan,4
kebolehan,4
kebosanan,4
kebuasan,4
kebudayaan,5
kebun,2
kebuntuan,4
keburukan,4
kecacatan,4
kecairan,4
kecak,2
kecam,2
kecaman,3
kecamuk,3
kecanggihan,4
kecantikan,4
kecapi,3
kecederaan,5
kecekalan,4
kecekapan,4
kecelakaan,5
kecelaruan,5
kecemasan,4
kecemburuan,5
kecemerlangan,5
kecenderungan,5
kecerdasan,4
kecerdikan,4
kecergasan,4
keceriaan,5
kecetekan,4
kecewa,3
keciciran,4
kecil,2
kecintaan,4
kecoh,2
kecuaian,4
kecuali,4
kecundang,3
kecurian,4
kecurigaan,5
kecut,2
kedaerahan,5
kedah,2
kedai,2
kedaifan,4
kedalaman,4
kedamaian,4
kedangkalan,4
kedatangan,4
kedaulatan,4
kedegilan,4
kedekut,3
kedengaran,4
kedewasaan,5
kedi,2
kediaman,4
kedinginan,4
kedit,2
kedua,3
kedua-dua,5
kedudukan,4
kedukaan,4
keduniaan,5
kedutaan,4
kedutan,3
keemasan,4
keempat,3
keempat-empat,5
keenakan,4
keenam,3
keengganan,4
keesokan,4
kefahaman,4
kefasihan,4
kegagahan,4
kegagalan,4
kegamatan,4
keganasan,4
keganjilan,4
kegarangan,4
kegawatan,4
kegelapan,4
kegelisahan,5
kegelojohan,5
kegemaran,4
kegembiraan,5
kegemilangan,5
kegetiran,4
keghairahan,4
kegiatan,4
kegigihan,4
kegilaan,4
kegirangan,4
kegopohan,4
kegugupan,4
keguguran,4
kegunaan,4
kegundahan,4
kegusaran,4
kehabisan,4
kehadiran,4
kehairanan,4
kehalusan,4
kehambaran,4
kehamilan,4
kehampaan,4
kehancuran,4
kehandalan,4
kehangatan,4
keharuman,4
kehausan,4
kehebatan,4
kehendak,3
kehendaki,4
keheningan,4
kehidupan,4
kehijauan,4
kehilangan,4
kehinaan,4
kehormat,3
kehormatan,4
keibuan,4
keikhlasan,4
keilmuan,4
keimanan,4
keindahan,4
keinginan,4
keinsafan,4
keintiman,4
keistimewaan,6
keizinan,4
kejadian,4
kejaguhan,4
kejahatan,4
kejahilan,4
kejaksaan,4
kejam,2
kejang,2
kejangan,3
kejanggalan,4
kejantanan,4
kejap,2
kejar,2
kejatuhan,4
kejayaan,4
kejelitaan,5
kejernihan,4
keji,2
kejituan,4
kejiwaan,4
kejohanan,4
kejora,3
kejuaraan,5
kejujuran,4
kejumudan,4
kejurulatihan,6
kejuruteraan,6
kejut,2
kejutan,3
kekaburan,4
kekacakan,4
kekacauan,4
kekaguman,4
kekal,2
kekalahan,4
kekalutan,4
kekampungan,4
kekang,2
kekangan,3
kekarutan,4
kekasaran,4
kekasih,3
kekayaan,4
kekebalan,4
kekecewaan,5
kekecohan,4
kekecualian,6
kekejaman,4
kekejangan,4
kekeliruan,5
kekeluargaan,6
kekemasan,4
kekentalan,4
kekerapan,4
kekerasan,4
kekeringan,4
kekeruhan,4
kekesalan,4
kekok,2
kekosongan,4
kekotoran,4
kekuasaan,5
kekuatan,4
kekuda,3
kekufuran,4
kekukuhan,4
kekunci,3
kekuningan,4
kekurangan,4
kekusutan,4
kelabu,3
keladi,3
kelahiran,4
kelainan,4
kelajuan,4
kelak,2
kelakar,3
kelakuan,4
kelalaian,4
kelam,2
kelamaan,4
kelambu,3
kelam-kabut,4
kelan,2
kelana,3
kelancangan,4
kelancaran,4
kelang,2
kelangkang,3
kelangsungan,4
kelantangan,4
kelapa,3
kelapan,3
kelapangan,4
kelaparan,4
kelasakan,4
kelasi,3
kelat,2
kelayak,3
kelayakan,4
kelayuan,4
kelazatan,4
kelaziman,4
keldai,2
kelebaran,4
kelebihan,4
keledar,3
kelegaan,4
kelekaan,4
kelelahan,4
kelelakian,5
kelemahan,4
kelembapan,4
kelembutan,4
kelengkang,3
kelengkapan,4
kelenjar,3
kelepasan,4
kelesuan,4
keletah,3
keletihan,4
kelewatan,4
keli,2
kelian,3
kelibat,3
kelicikan,4
kelicinan,4
kelihatan,4
keliling,3
kelima,3
kelima-lima,5
kelincahan,4
kelip,2
keliru,3
kelisa,3
kelmarin,3
kelolaan,4
kelompok,3
kelonggaran,4
kelongsong,3
kelontong,3
kelopak,3
kelu,2
keluang,3
keluar,3
keluaran,4
keluarga,4
keluasan,4
kelucahan,4
kelucuan,4
keluh,2
keluhan,3
keluh-kesah,4
keluli,3
kelulusan,4
kelunakan,4
keluwesan,4
kemahiran,4
kemahuan,4
kemajuan,4
kemakmuran,4
kemaksiatan,5
kemala,3
kemalangan,4
kemaluan,4
kemampuan,4
kemang,2
kemanisan,4
kemantapan,4
kemanusiaan,6
kemaraan,4
kemarahan,4
kemarau,3
kemaruk,3
kemas,2
kemasan,3
kemasukan,4
kemasyarakatan,6
kemasyhuran,4
kematangan,4
kematian,4
kemaujudan,4
kembala,3
kembali,3
kembalian,4
kembang,2
kembangan,3
kembar,2
kembara,3
kembung,2
kemegahan,4
kemeja,3
kemelaratan,5
kemelayuan,5
kemelesetan,5
kemelut,3
kemenangan,4
kementahan,4
kementerian,5
kemenyan,3
kemerahan,4
kemerdekaan,5
kemerduan,4
kemeriahan,5
kemerosotan,5
kemesraan,4
kemestian,4
kemewahan,4
kemiskinan,4
kempas,2
kempis,2
kempunan,3
kemuafakatan,6
kemudahan,4
kemudaratan,5
kemudi,3
kemuflisan,4
kemujaraban,5
kemuliaan,5
kemunafikan,5
kemunasabahan,6
kemuncak,3
kemunculan,4
kemungkinan,4
kemungkiran,4
kemuning,3
kemurahan,4
kemuraman,4
kemurnian,4
kemurungan,4
kemusnahan,4
kena,2
kenaikan,4
kenakalan,4
kenal,2
kenalan,3
kenamaan,4
kenan,2
kenang,2
kenanga,3
kenangan,3
kenari,3
kenas,2
kencana,3
kencang,2
kencing,2
kendali,3
kendalian,4
kenderaan,4
kendung,2
kendur,2
kenduri,3
kenegaraan,5
kenegerian,5
kenek,2
kenes,2
kenikmatan,4
kening,2
kenit,2
kental,2
kentang,2
kenyang,2
kenyat,2
kenyataan,4
kepadatan,4
kepahitan,4
kepahlawanan,5
kepakaran,4
kepala,3
kepalang,3
kepanasan,4
kepang,2
kepantasan,4
kepastian,4
kepatuhan,4
kepayahan,4
kepedihan,4
kepegawaian,5
kepejalan,4
kepekaan,4
kepekatan,4
kepelbagaian,5
kepemimpinan,5
kepenatan,4
kepentingan,4
kepercayaan,5
keperibadian,6
keperitan,4
keperkasaan,5
keperluan,4
keperwiraan,5
kepesatan,4
kepetahan,4
kepimpinan,4
kepincangan,4
keping,2
kepingan,3
kepingin,3
kepintaran,4
kepit,2
kepompong,3
kepong,2
keporak-perandaan,7
keprihatinan,5
kepuasan,4
kepudaran,4
kepulan,3
kepulangan,4
kepulauan,4
kepungan,3
kepunyaan,4
kepupusan,4
keputeraan,5
keputusan,4
kera,2
kerabat,3
keracunan,4
keraguan,4
kerah,2
kerahan,3
keraian,4
kerajaan,4
kerajinan,4
kerak,2
kerakusan,4
kerakyatan,4
keramahan,4
keramaian,4
keramat,3
kerancakan,4
keranda,3
kerang,2
kerangka,3
kerani,3
keranjang,3
keranji,3
kerap,2
kerapuhan,4
keras,2
kerat,2
keratan,3
kerawang,3
kerbang,2
kerdas,2
kerdil,2
kerdipan,3
keredaan,4
keremajaan,5
kerenah,3
kerepek,3
keresahan,4
kereta,3
keretakan,4
keretapi,4
kerian,3
keriangan,4
keributan,4
kerikil,3
kerinduan,4
kering,2
keringat,3
keris,2
kerisauan,4
keriuhan,4
kerja,2
kerjasama,4
kerjaya,3
keroh,2
kerohanian,5
keroncong,3
kerongsang,3
kerosakan,4
kerpai,2
kertas,2
kertuk,2
keruan,3
kerudung,3
kerugian,4
keruh,2
kerukunan,4
kerumitan,4
keruntuhan,4
kerusi,3
kesabaran,4
kesahihan,4
kesakitan,4
kesaksamaan,5
kesaktian,4
kesal,2
kesalahan,4
kesalan,3
kesamaan,4
kesamaran,4
kesampaian,4
kesan,2
kesanggupan,4
kesangsian,4
kesantunan,4
kesarjanaan,5
kesasaan,4
kesat,2
kesatuan,4
kesayangan,4
kesedaran,4
kesederhanaan,6
kesediaan,5
kesedihan,4
kesefahaman,5
kesegaran,4
keseimbangan,5
kesejagatan,5
kesejahteraan,6
kesejukan,4
keselamatan,5
keselesaan,5
keseluruhan,5
kesembilan,4
kesementaraan,6
kesempatan,4
kesempitan,4
kesempurnaan,5
kesemua,4
kesenangan,4
kesendirian,5
kesengsaraan,5
kesenian,4
keseniman,4
keseorangan,5
kesepakatan,5
kesepian,4
kesepuluh,4
keserabutan,5
keseragaman,5
keseraman,4
keserasian,5
keseriusan,5
keseronokan,5
kesesakan,4
kesesuaian,5
kesetiaan,5
kesetiakawanan,7
kesetiausahaan,8
kesian,3
kesibukan,4
kesihatan,4
kesilapan,4
kesimpulan,4
kesinambungan,5
kesombongan,4
kesopanan,4
kesturi,3
kesuburan,4
kesucian,4
kesudahan,4
kesudian,4
kesukaan,4
kesukanan,4
kesukaran,4
kesulitan,4
kesultanan,4
kesuma,3
kesumat,3
kesumba,3
kesungguhan,4
kesuntukan,4
kesunyian,4
kesuraman,4
kesusahan,4
kesusasteraan,6
kesusilaan,5
kesyahduan,4
kesyukuran,4
ketabahan,4
ketagih,3
ketagihan,4
ketahanan,4
ketahui,4
ketajaman,4
ketakutan,4
ketakwaan,4
ketam,2
ketamadunan,5
ketamakan,4
ketampanan,4
ketandusan,4
ketangkasan,4
ketar,2
ketara,3
ketat,2
ketatanegaraan,7
ketawa,3
ketegangan,4
ketegasan,4
keteguhan,4
ketekunan,4
ketelitian,5
ketempangan,4
ketemu,3
ketenangan,4
ketenatan,4
ketengah,3
ketenteraan,5
ketenteraman,5
ketentuan,4
ketepatan,4
keterampilan,5
keterangan,4
keterbatasan,5
keterbukaan,5
keterlaluan,5
keterlanjuran,5
keterpaksaan,5
ketertiban,4
ketetapan,4
ketewasan,4
ketiadaan,5
ketibaan,4
ketidak,3
ketidakadilan,6
ketidakcekapan,6
ketidakjujuran,6
ketidakpastian,6
ketidakpuasan,6
ketidaksamaan,6
ketidakseimbangan,7
ketidaksesuaian,7
ketidakstabilan,6
ketidaktentuan,6
ketidakupayaan,7
ketiduran,4
ketiga,3
ketik,2
ketimuran,4
keting,2
ketinggalan,4
ketinggian,4
ketokohan,4
ketola,3
ketot,2
ketrampilan,4
ketua,3
ketuanan,4
ketuhanan,4
ketuhar,3
ketujuh,3
ketukangan,4
ketulan,3
ketumpatan,4
ketumpulan,4
ketupat,3
keturunan,4
keunggulan,4
keuntungan,4
keupayaan,5
keusahawanan,6
keutamaan,5
keutuhan,4
keuzuran,4
kewajaran,4
kewajipan,4
kewangan,3
kewanitaan,5
kewarasan,4
kewarganegaraan,7
kewartawanan,5
kewibawaan,5
kewujudan,4
keyakinan,4
kezaliman,4
khabar,2
khair,1
khairat,2
khalayak,3
khalifah,3
khalis,2
khalwat,2
khas,1
khasiat,3
khayal,2
khayalan,3
khazanah,3
khemah,2
khianat,3
khidmat,2
khilaf,2
khuatir,3
khusus,2
khusyuk,2
khutbah,2
kiah,2
kiamat,3
kiambang,3
kian,2
kiasan,3
kiasi,3
kiat,2
kibar,2
kibaran,3
kiblat,2
kicap,2
kicauan,3
kidal,2
kifayah,3
kijang,2
kikis,2
kilang,2
kilas,2
kilat,2
kilau,2
kilauan,3
kimia,3
kimpalan,3
kinang,2
kini,2
kipas,2
kira,2
kiraan,3
kirana,3
kiri,2
kirim,2
kiriman,3
kisah,2
kita,2
kitab,2
kitaran,3
kiting,2
klise,2
kobar,2
kocek,2
kojol,2
koki,2
kokol,2
kol,1
kolam,2
kompang,2
komplot,2
kompol,2
konco,2
kongkang,2
kongsi,2
konon,2
kontang,2
konyol,2
kop,1
korban,2
korek,2
kosong,2
kota,2
kotak,2
kotak-katik,4
kotor,2
koya,2
koyak,2
koyan,2
kuah,2
kuak,2
kuala,3
kuali,3
kuam,2
kuang,2
kuas,2
kuasa,3
kuat,2
kubang,2
kubis,2
kubu,2
kubur,2
kuburan,3
kucar,2
kucar-kacir,4
kucing,2
kucup,2
kuda,2
kudis,2
kudrat,2
kudung,2
kudus,2
kufur,2
kugiran,3
kuih,2
kuih-muih,4
kuil,2
kuis,2
kuisan,3
kuku,2
kukuh,2
kula,2
kulambai,3
kuliah,3
kulim,2
kulintang,3
kulit,2
kulub,2
kulur,2
kuma,2
kuman,2
kumbahan,3
kumbang,2
kumin,2
kumpuan,3
kumpul,2
kumpulan,3
kumuh,2
kunang,2
kunci,2
kundi,2
kundur,2
kung,1
kuning,2
kunjung,2
kunjungan,3
kuno,2
kuntum,2
kuntuman,3
kupas,2
kupasan,3
kupu,2
kurang,2
kurau,2
kurik,2
kurma,2
kurnia,3
kurniaan,4
kurun,2
kurung,2
kurus,2
kus,1
kusa,2
kusam,2
kutip,2
kutipan,3
kutu,2
kutuk,2
kutukan,3
kuyu,2
kuyup,2
laba,2
labah,2
labi,2
labu,2
labuh,2
labur,2
lada,2
ladang,2
laden,2
ladung,2
lafaz,2
laga,2
lagak,2
lagi,2
lagu,2
lah,1
lahir,2
lahiriah,4
lai,1
lain,2
laju,2
laka,2
lakar,2
lakaran,3
laknatullah,4
lakon,2
lakonan,3
laksa,2
laksamana,4
laksana,3
laku,2
lala,2
lalai,2
lalang,2
lalat,2
lali,2
lalu,2
laluan,3
lama,2
lamar,2
lamaran,3
lambaian,3
lambakan,3
lambang,2
lambat,2
lambat-laun,4
lambung,2
lambungan,3
lamin,2
lampai,2
lampau,2
lampir,2
lampiran,3
lampu,2
lampung,2
lamunan,3
lancang,2
lancar,2
landa,2
landai,2
landasan,3
lang,1
langau,2
langgan,2
langganan,3
langgar,2
langit,2
langkah,2
langkahan,3
langkap,2
langkat,2
langsai,2
langsing,2
langsir,2
langsuir,3
langsung,2
lanjut,2
lanjutan,3
lantai,2
lantak,2
lantang,2
lantaran,3
lantas,2
lantik,2
lantikan,3
lanting,2
lantunan,3
lanun,2
lap,1
lapan,2
lapang,2
lapangan,3
lapar,2
lapis,2
lapisan,3
lapor,2
laporan,3
lapuk,2
lara,2
larangan,3
laras,2
lari,2
larian,3
laris,2
larut,2
lasak,2
latar,2
latifah,3
latih,2
latihan,3
lauk,2
laun,2
laung,2
laungan,3
laut,2
lautan,3
lawak,2
lawan,2
lawang,2
lawar,2
lawat,2
lawatan,3
layak,2
layan,2
layanan,3
layang,2
layangan,3
layar,2
layaran,3
layu,2
lazat,2
lazim,2
lebah,2
lebai,2
lebak,2
lebam,2
lebar,2
lebaran,3
lebat,2
lebih,2
lebihan,3
lebuh,2
lebur,2
leceh,2
ledak,2
ledakan,3
ledang,2
leder,2
lega,2
legak,2
legar,2
leher,2
lejang,2
leka,2
lekang,2
lekas,2
lekat,2
lekeh,2
lela,2
lelah,2
lelaki,3
leleh,2
lelemak,3
lelong,2
lelongan,3
leluhur,3
lem,1
lemah,2
lemak,2
leman,2
lemang,2
lemas,2
lemba,2
lembaga,3
lembah,2
lembangan,3
lembap,2
lembar,2
lembaran,3
lembik,2
lembing,2
lembu,2
lembut,2
lempar,2
lempit,2
lena,2
lenang,2
lencong,2
lencongan,3
lencun,2
leng,1
lengan,2
lengang,2
lenggok,2
lengkap,2
lenguh,2
lenjan,2
lentang,2
lentok,2
lentuk,2
lentur,2
lenyap,2
lepak,2
lepas,2
lepasan,3
lereng,2
leret,2
lesap,2
leser,2
lesi,2
lesnar,2
lesu,2
lesung,2
letak,2
letih,2
letupan,3
lewa,2
lewat,2
liang,2
liar,2
liat,2
liau,2
libas,2
licik,2
licin,2
lidah,2
liga,2
ligat,2
lihat,2
likas,2
likat,2
liku,2
lilin,2
lilitan,3
lima,2
limau,2
limpah,2
limpahan,3
linangan,3
lincah,2
lindung,2
lindungan,3
linggam,2
lingkar,2
lingkaran,3
lingkungan,3
link,1
lintah,2
lintang,2
lintangan,3
lintas,2
lipas,2
lipatan,3
lipis,2
liputan,3
lirikan,3
lisan,2
lisut,2
litar,2
litup,2
liuk,2
liur,2
liwat,2
loceng,2
lodeh,2
logam,2
loghat,2
loh,1
loji,2
lokek,2
lolos,2
loma,2
lombong,2
lompang,2
lompat,2
lompatan,3
loncatan,3
londeh,2
long,1
longgar,2
longgok,2
longkang,2
longlai,2
longok,2
lonjak,2
lonjakan,3
lontar,2
lontaran,3
lontong,2
lopes,2
lopong,2
lorong,2
loya,2
luah,2
luahan,3
luang,2
luapan,3
luar,2
luaran,3
luas,2
lubang,2
lubuk,2
lucah,2
lucas,2
lucu,2
lucut,2
luka,2
lukis,2
lukisan,3
lulu,2
luluk,2
lulus,2
lulusan,3
lumayan,3
lumba,2
lumpuh,2
lumpur,2
lumrah,2
lumur,2
lumus,2
lumut,2
lunak,2
lunas,2
luncur,2
luntur,2
lupa,2
lupus,2
luput,2
lurah,2
luruh,2
lurus,2
lurut,2
lusa,2
lusuh,2
lut,1
lutut,2
maaf,2
mabuk,2
macam,2
mada,2
madah,2
madrasah,3
madu,2
maha,2
mahaguru,4
mahal,2
mahar,2
maharaja,4
maharani,4
mahasiswa,4
mahdi,2
mahir,2
mahkamah,3
mahkota,3
mahligai,3
mahmud,2
mahmudah,3
mahram,2
mahsuri,3
mahu,2
main,2
mainan,2
majalah,3
majapahit,4
majikan,3
majlis,2
majmuk,2
maju,2
mak,1
maka,2
makalah,3
makam,2
makan,2
makanan,3
makbul,2
makhluk,2
maki,2
makin,2
maklum,2
makluman,3
maklumat,3
makmal,2
makmur,2
makna,2
maksiat,3
maksud,2
maktab,2
mal,1
malah,2
malahan,3
malai,2
malaikat,3
malam,2
malan,2
malang,2
malap,2
malapetaka,5
malas,2
mali,2
malim,2
malu,2
mampat,2
mampu,2
manas,2
manda,2
mandang,2
mandi,2
mandi-manda,4
mandir,2
manfaat,3
mangga,2
manggar,2
manggis,2
mangkat,2
mangkin,2
mangku,2
mangsa,2
mani,2
manik,2
manikam,3
manis,2
manja,2
mansuh,2
mantap,2
manusia,4
manusiawi,5
mapan,2
mara,2
marah,2
marak,2
marhaban,3
mari,2
markah,2
markas,2
marmar,2
martabat,3
maru,2
maruah,3
mas,1
masa,2
masai,2
masak,2
masakan,3
masalah,3
masam,2
masih,2
masin,2
masing,2
masjid,2
masuk,2
masyarakat,4
masyhur,2
mata,2
matahari,4
matang,2
mati,2
matlamat,3
maujud,2
maulai,2
maulana,3
maulud,2
maung,1
maura,2
maut,2
mawar,2
maya,2
mayang,2
mayat,2
medan,2
mega,2
megah,2
megan,2
megat,2
meja,2
mekar,2
melabuh,3
melabuhkan,4
melabur,3
melaburkan,4
melafazkan,4
melaga-lagakan,6
melahirkan,4
melainkan,4
melakar,3
melakarkan,4
melakonkan,4
melaksanakan,5
melakukan,4
melalak,3
melalap,3
melalui,4
melalukan,4
melalut,3
melamar,3
melambai,3
melambakkan,4
melambang,3
melambangkan,4
melambatkan,4
melambung,3
melambungkan,4
melampau,3
melampaui,4
melampirkan,4
melancar,3
melancarkan,4
melancong,3
melanda,3
melanggan,3
melanggar,3
melanggari,4
melangit,3
melangkah,3
melangkahi,4
melangkahkan,4
melangkaui,4
melangsaikan,4
melangsungkan,4
melangut,3
